CÓDIGO REGIÓN,NOMBRE REGIÓN,CÓDIGO COMUNA,NOMBRE COMUNA
1,TARAPACÁ,1101,IQUIQUE
1,TARAPACÁ,1107,ALTO HOSPICIO
1,TARAPACÁ,1401,POZO ALMONTE
1,TARAPACÁ,1404,HUARA
1,TARAPACÁ,1405,PICA
2,ANTOFAGASTA,2101,ANTOFAGASTA
2,ANTOFAGASTA,2102,MEJILLONES
2,ANTOFAGASTA,2104,TALTAL
2,ANTOFAGASTA,2201,CALAMA
2,ANTOFAGASTA,2203,SAN PEDRO DE ATACAMA
2,ANTOFAGASTA,2301,TOCOPILLA
2,ANTOFAGASTA,2302,MARÍA ELENA
3,ATACAMA,3101,COPIAPÓ
3,ATACAMA,3102,CALDERA
3,ATACAMA,3103,TIERRA AMARILLA
3,ATACAMA,3201,CHAÑARAL
3,ATACAMA,3202,DIEGO DE ALMAGRO
3,ATACAMA,3301,VALLENAR
3,ATACAMA,3303,FREIRINA
3,ATACAMA,3304,HUASCO
4,COQUIMBO,4101,LA SERENA
4,COQUIMBO,4102,COQUIMBO
4,COQUIMBO,4103,ANDACOLLO
4,COQUIMBO,4104,LA HIGUERA
4,COQUIMBO,4106,VICUÑA
4,COQUIMBO,4201,ILLAPEL
4,COQUIMBO,4202,CANELA
4,COQUIMBO,4203,LOS VILOS
4,COQUIMBO,4204,SALAMANCA
4,COQUIMBO,4301,OVALLE
4,COQUIMBO,4302,COMBARBALÁ
4,COQUIMBO,4303,MONTE PATRIA
4,COQUIMBO,4304,PUNITAQUI
5,VALPARAÍSO,5101,VALPARAÍSO
5,VALPARAÍSO,5102,CASABLANCA
5,VALPARAÍSO,5103,CONCÓN
5,VALPARAÍSO,5105,PUCHUNCAVÍ
5,VALPARAÍSO,5107,QUINTERO
5,VALPARAÍSO,5109,VIÑA DEL MAR
5,VALPARAÍSO,5201,ISLA DE PASCUA
5,VALPARAÍSO,5301,LOS ANDES
5,VALPARAÍSO,5302,CALLE LARGA
5,VALPARAÍSO,5303,RINCONADA
5,VALPARAÍSO,5304,SAN ESTEBAN
5,VALPARAÍSO,5401,LA LIGUA
5,VALPARAÍSO,5402,CABILDO
5,VALPARAÍSO,5403,PAPUDO
5,VALPARAÍSO,5404,PETORCA
5,VALPARAÍSO,5405,ZAPALLAR
5,VALPARAÍSO,5501,QUILLOTA
5,VALPARAÍSO,5502,CALERA
5,VALPARAÍSO,5503,HIJUELAS
5,VALPARAÍSO,5504,LA CRUZ
5,VALPARAÍSO,5506,NOGALES
5,VALPARAÍSO,5601,SAN ANTONIO
5,VALPARAÍSO,5602,ALGARROBO
5,VALPARAÍSO,5603,CARTAGENA
5,VALPARAÍSO,5604,EL QUISCO
5,VALPARAÍSO,5605,EL TABO
5,VALPARAÍSO,5606,SANTO DOMINGO
5,VALPARAÍSO,5701,SAN FELIPE
5,VALPARAÍSO,5702,CATEMU
5,VALPARAÍSO,5703,LLAILLAY
5,VALPARAÍSO,5704,PANQUEHUE
5,VALPARAÍSO,5705,PUTAENDO
5,VALPARAÍSO,5706,SANTA MARÍA
5,VALPARAÍSO,5801,QUILPUÉ
5,VALPARAÍSO,5802,LIMACHE
5,VALPARAÍSO,5803,OLMUÉ
5,VALPARAÍSO,5804,VILLA ALEMANA
6,O'HIGGINS,6101,RANCAGUA
6,O'HIGGINS,6102,CODEGUA
6,O'HIGGINS,6103,COINCO
6,O'HIGGINS,6104,COLTAUCO
6,O'HIGGINS,6105,DOÑIHUE
6,O'HIGGINS,6106,GRANEROS
6,O'HIGGINS,6107,LAS CABRAS
6,O'HIGGINS,6108,MACHALÍ
6,O'HIGGINS,6109,MALLOA
6,O'HIGGINS,6110,MOSTAZAL
6,O'HIGGINS,6111,OLIVAR
6,O'HIGGINS,6112,PEUMO
6,O'HIGGINS,6113,PICHIDEGUA
6,O'HIGGINS,6114,QUINTA DE TILCOCO
6,O'HIGGINS,6115,RENGO
6,O'HIGGINS,6116,REQUÍNOA
6,O'HIGGINS,6117,SAN VICENTE
6,O'HIGGINS,6201,PICHILEMU
6,O'HIGGINS,6202,LA ESTRELLA
6,O'HIGGINS,6203,LITUECHE
6,O'HIGGINS,6204,MARCHIHUE
6,O'HIGGINS,6206,PAREDONES
6,O'HIGGINS,6301,SAN FERNANDO
6,O'HIGGINS,6302,CHÉPICA
6,O'HIGGINS,6303,CHIMBARONGO
6,O'HIGGINS,6304,LOLOL
6,O'HIGGINS,6305,NANCAGUA
6,O'HIGGINS,6306,PALMILLA
6,O'HIGGINS,6307,PERALILLO
6,O'HIGGINS,6308,PLACILLA
6,O'HIGGINS,6310,SANTA CRUZ
7,MAULE,7101,TALCA
7,MAULE,7102,CONSTITUCIÓN
7,MAULE,7103,CUREPTO
7,MAULE,7104,EMPEDRADO
7,MAULE,7105,MAULE
7,MAULE,7106,PELARCO
7,MAULE,7107,PENCAHUE
7,MAULE,7108,RÍO CLARO
7,MAULE,7109,SAN CLEMENTE
7,MAULE,7110,SAN RAFAEL
7,MAULE,7201,CAUQUENES
7,MAULE,7202,CHANCO
7,MAULE,7203,PELLUHUE
7,MAULE,7301,CURICÓ
7,MAULE,7302,HUALAÑÉ
7,MAULE,7303,LICANTÉN
7,MAULE,7304,MOLINA
7,MAULE,7305,RAUCO
7,MAULE,7306,ROMERAL
7,MAULE,7307,SAGRADA FAMILIA
7,MAULE,7308,TENO
7,MAULE,7309,VICHUQUÉN
7,MAULE,7401,LINARES
7,MAULE,7402,COLBÚN
7,MAULE,7403,LONGAVÍ
7,MAULE,7404,PARRAL
7,MAULE,7405,RETIRO
7,MAULE,7406,SAN JAVIER
7,MAULE,7407,VILLA ALEGRE
7,MAULE,7408,YERBAS BUENAS
8,BIOBÍO,8101,CONCEPCIÓN
8,BIOBÍO,8102,CORONEL
8,BIOBÍO,8103,CHIGUAYANTE
8,BIOBÍO,8104,FLORIDA
8,BIOBÍO,8105,HUALQUI
8,BIOBÍO,8106,LOTA
8,BIOBÍO,8107,PENCO
8,BIOBÍO,8108,SAN PEDRO DE LA PAZ
8,BIOBÍO,8109,SANTA JUANA
8,BIOBÍO,8110,TALCAHUANO
8,BIOBÍO,8111,TOMÉ
8,BIOBÍO,8112,HUALPÉN
8,BIOBÍO,8201,LEBU
8,BIOBÍO,8202,ARAUCO
8,BIOBÍO,8203,CAÑETE
8,BIOBÍO,8204,CONTULMO
8,BIOBÍO,8205,CURANILAHUE
8,BIOBÍO,8206,LOS ÁLAMOS
8,BIOBÍO,8207,TIRÚA
8,BIOBÍO,8301,LOS ÁNGELES
8,BIOBÍO,8302,ANTUCO
8,BIOBÍO,8303,CABRERO
8,BIOBÍO,8304,LAJA
8,BIOBÍO,8305,MULCHÉN
8,BIOBÍO,8306,NACIMIENTO
8,BIOBÍO,8307,NEGRETE
8,BIOBÍO,8308,QUILACO
8,BIOBÍO,8309,QUILLECO
8,BIOBÍO,8310,SAN ROSENDO
8,BIOBÍO,8311,SANTA BÁRBARA
8,BIOBÍO,8312,TUCAPEL
8,BIOBÍO,8313,YUMBEL
9,LA ARAUCANÍA,9101,TEMUCO
9,LA ARAUCANÍA,9102,CARAHUE
9,LA ARAUCANÍA,9103,CUNCO
9,LA ARAUCANÍA,9104,CURARREHUE
9,LA ARAUCANÍA,9105,FREIRE
9,LA ARAUCANÍA,9106,GALVARINO
9,LA ARAUCANÍA,9107,GORBEA
9,LA ARAUCANÍA,9108,LAUTARO
9,LA ARAUCANÍA,9109,LONCOCHE
9,LA ARAUCANÍA,9110,MELIPEUCO
9,LA ARAUCANÍA,9111,NUEVA IMPERIAL
9,LA ARAUCANÍA,9112,PADRE LAS CASAS
9,LA ARAUCANÍA,9113,PERQUENCO
9,LA ARAUCANÍA,9114,PITRUFQUÉN
9,LA ARAUCANÍA,9115,PUCÓN
9,LA ARAUCANÍA,9116,SAAVEDRA
9,LA ARAUCANÍA,9117,TEODORO SCHMIDT
9,LA ARAUCANÍA,9118,TOLTÉN
9,LA ARAUCANÍA,9119,VILCÚN
9,LA ARAUCANÍA,9120,VILLARRICA
9,LA ARAUCANÍA,9121,CHOLCHOL
9,LA ARAUCANÍA,9201,ANGOL
9,LA ARAUCANÍA,9202,COLLIPULLI
9,LA ARAUCANÍA,9203,CURACAUTÍN
9,LA ARAUCANÍA,9204,ERCILLA
9,LA ARAUCANÍA,9205,LONQUIMAY
9,LA ARAUCANÍA,9206,LOS SAUCES
9,LA ARAUCANÍA,9207,LUMACO
9,LA ARAUCANÍA,9208,PURÉN
9,LA ARAUCANÍA,9209,RENAICO
9,LA ARAUCANÍA,9210,TRAIGUÉN
9,LA ARAUCANÍA,9211,VICTORIA
10,LOS LAGOS,10101,PUERTO MONTT
10,LOS LAGOS,10102,CALBUCO
10,LOS LAGOS,10104,FRESIA
10,LOS LAGOS,10105,FRUTILLAR
10,LOS LAGOS,10106,LOS MUERMOS
10,LOS LAGOS,10107,LLANQUIHUE
10,LOS LAGOS,10108,MAULLÍN
10,LOS LAGOS,10109,PUERTO VARAS
10,LOS LAGOS,10201,CASTRO
10,LOS LAGOS,10202,ANCUD
10,LOS LAGOS,10203,CHONCHI
10,LOS LAGOS,10204,CURACO DE VÉLEZ
10,LOS LAGOS,10205,DALCAHUE
10,LOS LAGOS,10207,QUEILÉN
10,LOS LAGOS,10208,QUELLÓN
10,LOS LAGOS,10209,QUEMCHI
10,LOS LAGOS,10210,QUINCHAO
10,LOS LAGOS,10301,OSORNO
10,LOS LAGOS,10302,PUERTO OCTAY
10,LOS LAGOS,10303,PURRANQUE
10,LOS LAGOS,10304,PUYEHUE
10,LOS LAGOS,10305,RÍO NEGRO
10,LOS LAGOS,10306,SAN JUAN DE LA COSTA
10,LOS LAGOS,10307,SAN PABLO
10,LOS LAGOS,10401,CHAITÉN
10,LOS LAGOS,10402,FUTALEUFÚ
10,LOS LAGOS,10403,HUALAIHUÉ
10,LOS LAGOS,10404,PALENA
11,AYSÉN,11101,COYHAIQUE
11,AYSÉN,11201,AYSÉN
11,AYSÉN,11202,CISNES
11,AYSÉN,11203,GUAITECAS
11,AYSÉN,11301,COCHRANE
11,AYSÉN,11401,CHILE CHICO
12,MAGALLANES,12101,PUNTA ARENAS
12,MAGALLANES,12201,CABO DE HORNOS
12,MAGALLANES,12301,PORVENIR
12,MAGALLANES,12401,NATALES
13,METROPOLITANA,13101,SANTIAGO
13,METROPOLITANA,13102,CERRILLOS
13,METROPOLITANA,13103,CERRO NAVIA
13,METROPOLITANA,13104,CONCHALÍ
13,METROPOLITANA,13105,EL BOSQUE
13,METROPOLITANA,13106,ESTACIÓN CENTRAL
13,METROPOLITANA,13107,HUECHURABA
13,METROPOLITANA,13108,INDEPENDENCIA
13,METROPOLITANA,13109,LA CISTERNA
13,METROPOLITANA,13110,LA FLORIDA
13,METROPOLITANA,13111,LA GRANJA
13,METROPOLITANA,13112,LA PINTANA
13,METROPOLITANA,13113,LA REINA
13,METROPOLITANA,13114,LAS CONDES
13,METROPOLITANA,13115,LO BARNECHEA
13,METROPOLITANA,13116,LO ESPEJO
13,METROPOLITANA,13117,LO PRADO
13,METROPOLITANA,13118,MACUL
13,METROPOLITANA,13119,MAIPÚ
13,METROPOLITANA,13120,ÑUÑOA
13,METROPOLITANA,13121,PEDRO AGUIRRE CERDA
13,METROPOLITANA,13122,PEÑALOLÉN
13,METROPOLITANA,13123,PROVIDENCIA
13,METROPOLITANA,13124,PUDAHUEL
13,METROPOLITANA,13125,QUILICURA
13,METROPOLITANA,13126,QUINTA NORMAL
13,METROPOLITANA,13127,RECOLETA
13,METROPOLITANA,13128,RENCA
13,METROPOLITANA,13129,SAN JOAQUÍN
13,METROPOLITANA,13130,SAN MIGUEL
13,METROPOLITANA,13131,SAN RAMÓN
13,METROPOLITANA,13132,VITACURA
13,METROPOLITANA,13201,PUENTE ALTO
13,METROPOLITANA,13202,PIRQUE
13,METROPOLITANA,13203,SAN JOSÉ DE MAIPO
13,METROPOLITANA,13301,COLINA
13,METROPOLITANA,13302,LAMPA
13,METROPOLITANA,13303,TILTIL
13,METROPOLITANA,13401,SAN BERNARDO
13,METROPOLITANA,13402,BUIN
13,METROPOLITANA,13403,CALERA DE TANGO
13,METROPOLITANA,13404,PAINE
13,METROPOLITANA,13501,MELIPILLA
13,METROPOLITANA,13502,ALHUÉ
13,METROPOLITANA,13503,CURACAVÍ
13,METROPOLITANA,13504,MARÍA PINTO
13,METROPOLITANA,13601,TALAGANTE
13,METROPOLITANA,13602,EL MONTE
13,METROPOLITANA,13603,ISLA DE MAIPO
13,METROPOLITANA,13604,PADRE HURTADO
13,METROPOLITANA,13605,PEÑAFLOR
14,LOS RÍOS,14101,VALDIVIA
14,LOS RÍOS,14102,CORRAL
14,LOS RÍOS,14103,LANCO
14,LOS RÍOS,14104,LOS LAGOS
14,LOS RÍOS,14105,MÁFIL
14,LOS RÍOS,14106,MARIQUINA
14,LOS RÍOS,14107,PAILLACO
14,LOS RÍOS,14108,PANGUIPULLI
14,LOS RÍOS,14201,LA UNIÓN
14,LOS RÍOS,14202,FUTRONO
14,LOS RÍOS,14203,LAGO RANCO
14,LOS RÍOS,14204,RÍO BUENO
15,ARICA Y PARINACOTA,15101,ARICA
15,ARICA Y PARINACOTA,15201,PUTRE
16,ÑUBLE,16101,CHILLÁN
16,ÑUBLE,16102,BULNES
16,ÑUBLE,16103,CHILLÁN VIEJO
16,ÑUBLE,16104,EL CARMEN
16,ÑUBLE,16105,PEMUCO
16,ÑUBLE,16106,PINTO
16,ÑUBLE,16107,QUILLÓN
16,ÑUBLE,16108,SAN IGNACIO
16,ÑUBLE,16109,YUNGAY
16,ÑUBLE,16201,QUIRIHUE
16,ÑUBLE,16202,COBQUECURA
16,ÑUBLE,16203,COELEMU
16,ÑUBLE,16204,NINHUE
16,ÑUBLE,16205,PORTEZUELO
16,ÑUBLE,16206,RÁNQUIL
16,ÑUBLE,16207,TREGUACO
16,ÑUBLE,16301,SAN CARLOS
16,ÑUBLE,16302,COIHUECO
16,ÑUBLE,16303,ÑIQUÉN
16,ÑUBLE,16304,SAN FABIÁN
16,ÑUBLE,16305,SAN NICOLÁS